AT-1,Security Awareness and Training Policy and Procedures,Awareness and Training,
AT-2(1),Security Awareness (Control Enhancement),Awareness and Training,
AT-3,Security Training,Awareness and Training,
AT-3(1),Security Training (Control Enhancement),Awareness and Training,
AT-3(2),Security Training (Control Enhancement),Awareness and Training,
AT-4,Security Training Records,Awareness and Training,
AT-5,Contacts with Security Groups and Associations,Awareness and Training,
CM-1,Configuration Management Policy and Procedures,Configuration Management,
CM-2,Baseline Configuration,Configuration Management,"SIMP has strictly enforced version control during development. The baseline files for SIMP are kept and maintained in a git repository. Files are packaged and a series of auto tests are performed on each release. Once released, there is a version number associated for distribution. Additionally, custom puppet modules are in the form of RPMs and have version numbers associated with them. All documentation is also built with source code."
CM-2(1),Baseline Configuration (Control Enhancement),Configuration Management,
CM-2(2),Baseline Configuration (Control Enhancement),Configuration Management,"SIMP has strictly enforced version control during development. The baseline files for SIMP are kept and maintained in a git repository. Files are packaged and a series of auto tests are performed on the release. Once released, there is a version number associated for distribution. All documentation is also built with source code."
CM-2(3),Baseline Configuration (Control Enhancement),Configuration Management,All old versions of SIMP remain in the code repository.
CM-2(4),Baseline Configuration (Control Enhancement),Configuration Management,
CM-2(5),Baseline Configuration (Control Enhancement),Configuration Management,a. SIMP provides a minimal list of packages and services installed. The minimal list of packages can be found in kickstart files and the appendix of this document. Additional packages are installed by each implementation or as SIMP modules are applied. b. It's not feasible to technically deny additional applications from being installed. There is nothing in SIMP that can stop and RPM from being applied. Applications that require network access to service activation must be registered with puppet.
CM-2(6),Baseline Configuration (Control Enhancement),Configuration Management,"As a project, SIMP is developmental only. The environments where it is tested is up to the implementation. Development testing is performed on SIMP in environments that have a code base frozen."
CM-3,Configuration Change Control,Configuration Management,
CM-3(1),Configuration Change Control (Control Enhancement),Configuration Management,
CM-3(2),Configuration Change Control (Control Enhancement),Configuration Management,
